,,,vancouverisland (CA-Ca3),,,,oregonYP (US-Me6),,,,WREF NEON,,,,ABBY NEON,,
date,year,doy,gcc_90,smooth_gcc_90,smooth_ci_gcc_75,,gcc_90,smooth_gcc_90,smooth_ci_gcc_90,,gcc_90,smooth_gcc_90,smooth_ci_gcc_90,,gcc_90,smooth_gcc_90,smooth_ci_gcc_90
1/1/17,2017,1,NA,0.37637,0.02,,0.36375,0.3613,0.00207,,NA,NA,NA,,NA,NA,NA
1/2/17,2017,2,NA,0.37642,0.02,,0.35377,0.36047,0.0021,,NA,NA,NA,,NA,NA,NA
1/3/17,2017,3,NA,0.37645,0.02,,NA,0.35954,0.00218,,NA,NA,NA,,NA,NA,NA
1/4/17,2017,4,NA,0.37647,0.02,,NA,0.35866,0.0023,,NA,NA,NA,,NA,NA,NA
1/5/17,2017,5,NA,0.37651,0.02,,0.35259,0.358,0.0024,,NA,NA,NA,,NA,NA,NA
1/6/17,2017,6,NA,0.37657,0.02,,0.35518,0.35718,0.00246,,NA,NA,NA,,NA,NA,NA
1/7/17,2017,7,NA,0.37669,0.02,,NA,0.35615,0.00259,,NA,NA,NA,,NA,NA,NA
1/8/17,2017,8,NA,0.37684,0.02,,NA,0.35555,0.00271,,NA,NA,NA,,NA,NA,NA
1/9/17,2017,9,NA,0.377,0.02,,0.36283,0.3556,0.00266,,NA,NA,NA,,NA,NA,NA
1/10/17,2017,10,NA,0.37724,0.02,,NA,0.35603,0.00254,,NA,NA,NA,,NA,NA,NA
1/11/17,2017,11,NA,0.37754,0.02,,NA,0.35671,0.00245,,NA,NA,NA,,NA,NA,NA
1/12/17,2017,12,NA,0.3778,0.02,,NA,0.35749,0.00245,,NA,NA,NA,,NA,NA,NA
1/13/17,2017,13,NA,0.37801,0.02,,NA,0.35824,0.0025,,NA,NA,NA,,NA,NA,NA
1/14/17,2017,14,NA,0.37822,0.02,,NA,0.3588,0.00252,,NA,NA,NA,,NA,NA,NA
1/15/17,2017,15,NA,0.37842,0.02,,0.35073,0.35941,0.00242,,NA,NA,NA,,NA,NA,NA
1/16/17,2017,16,NA,0.37858,0.02,,0.3544,0.36024,0.00228,,NA,NA,NA,,NA,NA,NA
1/17/17,2017,17,NA,0.37868,0.02,,NA,0.36108,0.00219,,NA,NA,NA,,NA,NA,NA
1/18/17,2017,18,NA,0.37871,0.02,,0.36794,0.36172,0.00215,,NA,NA,NA,,NA,NA,NA
1/19/17,2017,19,NA,0.37868,0.02,,0.36374,0.36223,0.00205,,NA,NA,NA,,NA,NA,NA
1/20/17,2017,20,NA,0.37862,0.02,,0.36581,0.36278,0.00195,,NA,NA,NA,,NA,NA,NA
1/21/17,2017,21,NA,0.37859,0.02,,0.36473,0.36328,0.0019,,NA,NA,NA,,NA,NA,NA
1/22/17,2017,22,NA,0.37861,0.02,,0.36534,0.3638,0.00182,,NA,NA,NA,,NA,NA,NA
1/23/17,2017,23,NA,0.37865,0.02,,0.36351,0.36435,0.00176,,NA,NA,NA,,NA,NA,NA
1/24/17,2017,24,NA,0.37869,0.02,,0.36292,0.36485,0.00179,,NA,NA,NA,,NA,NA,NA
1/25/17,2017,25,NA,0.37874,0.02,,0.3656,0.36521,0.00186,,NA,NA,NA,,NA,NA,NA
1/26/17,2017,26,NA,0.37881,0.02,,0.36787,0.36529,0.00188,,NA,NA,NA,,NA,NA,NA
1/27/17,2017,27,NA,0.37891,0.02,,0.36236,0.36515,0.0019,,NA,NA,NA,,NA,NA,NA
1/28/17,2017,28,NA,0.37912,0.02,,0.36077,0.36505,0.00193,,NA,NA,NA,,NA,NA,NA
1/29/17,2017,29,NA,0.37942,0.02,,0.36248,0.36485,0.00193,,NA,NA,NA,,NA,NA,NA
1/30/17,2017,30,NA,0.37965,0.02,,0.36683,0.36439,0.00192,,NA,NA,NA,,NA,NA,NA
1/31/17,2017,31,NA,0.37993,0.02,,0.36826,0.36392,0.00196,,NA,NA,NA,,NA,NA,NA
2/1/17,2017,32,NA,0.38029,0.02,,NA,0.36364,0.002,,NA,NA,NA,,NA,NA,NA
2/2/17,2017,33,NA,0.38048,0.02,,NA,0.36341,0.00197,,NA,NA,NA,,NA,NA,NA
2/3/17,2017,34,NA,0.38042,0.02,,NA,0.36309,0.00195,,NA,NA,NA,,NA,NA,NA
2/4/17,2017,35,NA,0.38023,0.02,,0.3634,0.36292,0.00197,,NA,NA,NA,,NA,NA,NA
2/5/17,2017,36,NA,0.37994,0.02,,0.36508,0.36299,0.00193,,NA,NA,NA,,NA,NA,NA
2/6/17,2017,37,NA,0.37961,0.02,,0.36269,0.36315,0.00185,,NA,NA,NA,,NA,NA,NA
2/7/17,2017,38,NA,0.37927,0.02,,0.3575,0.36337,0.00178,,NA,NA,NA,,NA,NA,NA
2/8/17,2017,39,NA,0.37871,0.02,,0.36279,0.3636,0.00176,,NA,NA,NA,,NA,NA,NA
2/9/17,2017,40,NA,0.37798,0.02,,0.36089,0.36383,0.00177,,NA,NA,NA,,NA,NA,NA
2/10/17,2017,41,NA,0.37747,0.02,,0.36578,0.364,0.00178,,NA,NA,NA,,NA,NA,NA
2/11/17,2017,42,NA,0.37716,0.02,,0.36303,0.3643,0.00173,,NA,NA,NA,,NA,NA,NA
2/12/17,2017,43,NA,0.37684,0.02,,0.36333,0.36477,0.00169,,NA,NA,NA,,NA,NA,NA
