TIMESTAMP_START,LH,H,TA,VPD_F,SW_IN,NEE,GPP,RECO
2019-01-01 01:00:00,-1.789,-4.723,-2.183,0.488,0.0,2.3825,-1.08102,1.06739
2019-01-01 01:30:00,-2.146,13.145,-2.473,0.431,0.0,2.33309,-1.1528,1.03503
2019-01-01 02:00:00,-1.6465,-8.156,-2.271,0.463,0.0,2.3825,-1.09066,1.05751
2019-01-01 02:30:00,-2.384,0.470304,-2.416,0.548,0.0,2.33309,-1.14692,1.04135
2019-01-01 03:00:00,-5.564,0.470304,-2.41,0.456,0.0,2.33309,-1.1463,1.04202
2019-01-01 03:30:00,-3.683,1.937,-2.276,0.46,0.0,2.3825,-1.09121,1.05695
2019-01-01 04:00:00,-1.6465,-3.942,-2.415,0.379,0.0,2.33309,-1.14681,1.04146
2019-01-01 04:30:00,-1.67467,-4.227,-2.017,0.617,0.0,2.473,-1.15326,1.08616
2019-01-01 05:00:00,-1.6465,0.470304,-2.675,0.284,0.0,2.33309,-1.17356,1.01283
2019-01-01 05:30:00,-0.945,0.470304,-2.572,0.327,0.0,2.33309,-1.163,1.02412
2019-01-01 06:00:00,-1.6465,0.470304,-2.677,0.307,0.0,2.33309,-1.17376,1.01261
2019-01-01 06:30:00,-1.771,-14.177,-2.818,0.289,0.0,2.33309,-1.18814,0.997281
2019-01-01 07:00:00,-1.23,11.78,-2.882,0.344,0.0,2.33309,-1.19464,0.990366
2019-01-01 07:30:00,1.072,-5.999,-2.534,0.402,1.015,2.33309,-1.15909,1.0283
2019-01-01 08:00:00,-1.6465,1.317,-2.601,0.406,11.795,2.33309,-1.16598,1.02093
2019-01-01 08:30:00,-1.548,1.84667,-2.409,0.434,41.48,1.73852,-0.713326,1.04213
2019-01-01 09:00:00,42.7722,-5.919,-2.612,0.314,112.36,-3.43178,4.40033,1.01973
2019-01-01 09:30:00,49.591,16.8998,-1.266,0.66,204.295,-8.2405,9.23158,1.17342
2019-01-01 10:00:00,28.777,10.488,0.154,1.108,261.845,-5.01506,6.27469,1.34872
2019-01-01 10:30:00,31.75,33.006,1.139,1.446,305.975,-4.60115,6.05818,1.47818
2019-01-01 11:00:00,92.285,30.963,2.497,2.389,327.315,-3.778,5.44414,1.66822
2019-01-01 11:30:00,79.919,54.003,2.722,2.431,350.935,-2.6635,4.36485,1.70135
2019-01-01 12:00:00,43.573,111.141,3.587,3.029,358.6,-2.961,4.79291,1.83191
2019-01-01 12:30:00,36.63,145.588,3.567,2.65,352.175,-2.8818,4.71063,1.82883
2019-01-01 13:00:00,20.539,101.712,3.822,2.714,363.695,-2.961,4.82925,1.86825
